config_bits,fair_func,load_id,weight_new
111000,efficient,12,1.0000297976498453
111000,efficient,13,1.4999813093223942
111000,efficient,14,1.5000000136487746
111000,efficient,15,1.0002399985471424
000100,efficient,1,1.0007502848004441
000100,efficient,2,1.0005790289608636
000100,efficient,3,1.5000000149164938
000100,efficient,4,1.0001019313567117
000100,efficient,5,1.500000014749502
000100,efficient,6,1.0003034065240415
000100,efficient,7,1.4932733305022017
000100,efficient,8,1.500000014803703
000100,efficient,9,1.0007926642477702
000100,efficient,10,1.50000001465196
000100,efficient,11,1.0007926642479128
000100,efficient,12,1.0001157238551792
000100,efficient,13,1.4999205923653451
000100,efficient,14,1.500000013648844
000100,efficient,15,1.5000000147494887
100100,efficient,1,1.4906049579382243
100100,efficient,2,1.5000000135764064
100100,efficient,3,1.500000014916496
100100,efficient,4,1.5000000148018116
100100,efficient,5,1.5000000147495582
100100,efficient,6,1.49672686983594
100100,efficient,7,1.4942164845283525
100100,efficient,8,1.500000014803679
100100,efficient,9,1.4648995543866687
100100,efficient,10,1.5000000146519175
100100,efficient,11,1.4648995546236925
100100,efficient,12,1.5000000146669124
100100,efficient,13,1.5000000148747787
100100,efficient,14,1.5000000136486786
100100,efficient,15,1.5000000147494492
010100,efficient,1,1.5000000147870751
010100,efficient,2,1.000600361355259
010100,efficient,3,1.5000000149164971
010100,efficient,4,1.0004099794773296
010100,efficient,5,1.500000014749515
010100,efficient,6,1.0003033659079996
010100,efficient,7,1.4917251791253432
010100,efficient,8,1.5000000148037103
010100,efficient,9,1.5000000147160455
010100,efficient,10,1.5000000146519727
010100,efficient,11,1.5000000147160455
010100,efficient,12,1.0005642173189089
010100,efficient,13,1.2891402064052178
010100,efficient,14,1.5000000136488933
010100,efficient,15,1.5000000147494954
110100,efficient,1,1.5000000147870822
110100,efficient,2,1.5000000135765759
110100,efficient,3,1.5000000149165065
110100,efficient,4,1.5000000148018358
110100,efficient,5,1.5000000147495578
110100,efficient,6,1.0003032079648115
110100,efficient,7,1.4957080734210855
110100,efficient,8,1.5000000148037211
110100,efficient,9,1.500000014716055
110100,efficient,10,1.5000000146519923
110100,efficient,11,1.500000014716055
110100,efficient,12,1.5000000146669525
110100,efficient,13,1.5000000148747832
110100,efficient,14,1.5000000136489686
110100,efficient,15,1.5000000147495391
001100,efficient,1,1.0002664457696238
001100,efficient,2,1.0002237507545018
001100,efficient,3,1.5000000149697095
001100,efficient,4,1.0000541389376205
001100,efficient,5,1.5000000149091244
001100,efficient,6,1.5000000149545742
001100,efficient,7,1.5000000149091637
001100,efficient,8,1.5000000149287926
001100,efficient,9,1.000282560541991
001100,efficient,10,1.5000000148737476
001100,efficient,11,1.0002825605417607
001100,efficient,12,1.0000629623111303
001100,efficient,13,1.4999503581363638
001100,efficient,14,1.5000000145098646
001100,efficient,15,1.5000000149091324
101100,efficient,1,1.4972170910566012
101100,efficient,2,1.5000000144834729
101100,efficient,3,1.5000000149697084
101100,efficient,4,1.5000000149280908
101100,efficient,5,1.5000000149091215
101100,efficient,6,1.5000000149545718
101100,efficient,7,1.5000000149091324
101100,efficient,8,1.5000000149287864
101100,efficient,9,1.494664487844147
101100,efficient,10,1.5000000148737365
101100,efficient,11,1.4946644878822792
101100,efficient,12,1.5000000148791448
101100,efficient,13,1.500000014954563
101100,efficient,14,1.5000000145098211
101100,efficient,15,1.5000000149091415
111100,efficient,1,1.5000000147869945
111100,efficient,2,1.5000000135731768
111100,efficient,3,1.5000000149164967
111100,efficient,4,1.500000014801744
111100,efficient,5,1.500000014749428
111100,efficient,6,1.5000000148747568
111100,efficient,7,1.500000014749456
111100,efficient,8,1.5000000148036476
111100,efficient,9,1.5000000147159065
111100,efficient,10,1.5000000146517793
111100,efficient,11,1.5000000147159067
111100,efficient,12,1.5000000146667283
111100,efficient,13,1.5000000148747454
111100,efficient,14,1.5000000136460112
111100,efficient,15,1.5000000147494443
000010,efficient,1,1.0007147135657377
000010,efficient,2,1.0005799918330667
000010,efficient,3,1.0000848585852717
000010,efficient,4,1.000411984331643
000010,efficient,5,1.4837573511743039
000010,efficient,6,1.5000000148747368
000010,efficient,7,1.5000000147494805
000010,efficient,8,1.5000000148036952
000010,efficient,9,1.0007453682715555
000010,efficient,10,1.5000000146519463
000010,efficient,11,1.0007453682720884
000010,efficient,12,1.000548005173686
000010,efficient,13,1.2881285734793433
000010,efficient,14,1.5000000136487903
000010,efficient,15,0.9999999902098997
100010,efficient,1,1.0007736045287534
100010,efficient,2,1.0001270662964943
100010,efficient,3,1.499682825920288
100010,efficient,4,1.0000114257117012
100010,efficient,5,1.4947256199464236
100010,efficient,6,1.5000000148747368
100010,efficient,7,1.5000000147494805
100010,efficient,8,1.5000000148036952
100010,efficient,9,1.0007045023450527
100010,efficient,10,1.5000000146519463
100010,efficient,11,1.0007045023447418
100010,efficient,12,1.0000142512887762
100010,efficient,13,1.4999924677710725
100010,efficient,14,1.50000001364879
100010,efficient,15,1.0000968903197136
010010,efficient,1,1.5000000149226687
010010,efficient,2,1.0002090156993326
010010,efficient,3,1.0000307605849847
010010,efficient,4,1.0000395299632394
010010,efficient,5,1.4980418828534583
010010,efficient,6,1.5000000149551356
010010,efficient,7,1.5000000149115373
010010,efficient,8,1.5000000149287873
010010,efficient,9,1.5000000148968715
010010,efficient,10,1.5000000148737382
010010,efficient,11,1.5000000148968737
010010,efficient,12,1.0000450164850412
010010,efficient,13,1.4999684497691654
010010,efficient,14,1.500000014509828
010010,efficient,15,1.0022152186328088
001010,efficient,1,1.0007488396068305
001010,efficient,2,1.0005947901287773
