fair_func,weight_max,step_size,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,weight_spread,objective
proportional,50.0,0.1,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,50.0,0.1,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,9.100000087711404,7167.403741875417
min_max,50.0,0.1,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,9.100000086145839,14598.881555467826
equality_min,50.0,0.1,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,9.000500047487876,11078.581770504981
jain,50.0,0.1,3466.0,1459.7145603940476,2006.285439605952,42.115249867110435,57.88475013288955,9.099982095204886,12377.078520393814
proportional,50.0,0.2,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,50.0,0.2,3466.0,1465.3567558213501,2000.6432441786496,42.27803680961772,57.721963190382276,9.200000088750867,7224.182432361925
min_max,50.0,0.2,3466.0,1679.8291662553956,1786.1708337446044,48.46593093639341,51.534069063606594,9.200000087176823,14739.766711261906
equality_min,50.0,0.2,3466.0,1459.922422847956,2006.0775771520443,42.12124705273965,57.87875294726037,9.00199986003474,11080.093581543488
jain,50.0,0.2,3466.0,1459.7145607246398,2006.2854392753602,42.11524987664858,57.884750123351424,9.199982121163183,12491.01418337665
proportional,50.0,0.5,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,50.0,0.5,3466.0,1465.406192883092,2000.5938071169085,42.279463153003235,57.72053684699679,9.500000091864745,7394.514388647339
min_max,50.0,0.5,3466.0,1679.82916628443,1786.1708337155703,48.4659309372311,51.53406906276891,9.500000090266235,15162.206457599019
equality_min,50.0,0.5,3466.0,1459.9224228644216,2006.0775771355782,42.1212470532147,57.8787529467853,9.012492257297612,11090.669918050284
jain,50.0,0.5,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,9.499982197727588,12832.818685948758
